n_stations,D,r_mec,D_over_2,kappa,covered,area
2,2091.4658011448464,1045.7329005724232,1045.7329005724232,1.0,True,27139.668990267004
2,2141.0165568044004,1070.5082784022002,1070.5082784022002,1.0,True,22920.914383800264
2,2147.709638083942,1073.854819041971,1073.854819041971,1.0,True,34745.459954787504
2,2503.432409677297,1251.7162048386485,1251.7162048386485,1.0,True,23769.88310768675
2,2082.8798791417053,1041.4399395708526,1041.4399395708526,1.0,True,34285.4433260519
2,1858.577837312748,929.288918656374,929.288918656374,1.0,True,28439.86035176384
2,2203.3315429198537,1101.6657714599269,1101.6657714599269,1.0,True,22350.217544112413
2,1796.4443790798064,898.2221895399032,898.2221895399032,1.0,True,23608.241970273855
2,2335.758648679218,1167.879324339609,1167.879324339609,1.0,True,44785.4265692439
2,2534.2436510605976,1267.1218255302988,1267.1218255302988,1.0,True,55921.14517343609
2,2107.796935800588,1053.898467900294,1053.898467900294,1.0,True,9760.984669081357
2,1954.4186500045028,977.2093250022514,977.2093250022514,1.0,True,30183.245057425178
2,2341.7888512062123,1170.8944256031061,1170.8944256031061,1.0,True,47318.38159681987
2,2393.942161816299,1196.9710809081496,1196.9710809081496,1.0,True,46854.436518510294
2,2428.9868603610194,1214.4934301805097,1214.4934301805097,1.0,True,36068.50563705676
2,2303.2994882971902,1151.6497441485951,1151.6497441485951,1.0,True,43741.36931378073
2,1488.553625182351,744.2768125911755,744.2768125911755,1.0,True,7737.228130865122
2,2210.124375162364,1105.062187581182,1105.062187581182,1.0,True,12184.185077289789
2,1694.153017659305,847.0765088296525,847.0765088296525,1.0,True,24366.621774618416
2,2256.3718923418965,1128.1859461709482,1128.1859461709482,1.0,True,29516.424175052227
2,1787.6961434996142,893.8480717498071,893.8480717498071,1.0,True,20907.809331465636
2,2221.9637858605306,1110.9818929302653,1110.9818929302653,1.0,True,38989.750384917344
2,2292.7087036131443,1146.3543518065721,1146.3543518065721,1.0,True,38358.82870424899
2,1831.4380938752902,915.7190469376451,915.7190469376451,1.0,True,27322.596485901566
2,1972.865395600808,986.432697800404,986.432697800404,1.0,True,17180.353600150884
2,1849.3573491208235,924.6786745604118,924.6786745604118,1.0,True,26883.5066172573
2,2407.736294102352,1203.868147051176,1203.868147051176,1.0,True,50013.40937261729
2,2339.7780890146455,1169.8890445073228,1169.8890445073228,1.0,True,42442.02501229771
2,2258.191242461129,1129.0956212305646,1129.0956212305646,1.0,True,37296.210760880305
2,2239.7777383557227,1119.8888691778614,1119.8888691778614,1.0,True,42332.55878361119
2,2037.4142944221392,1018.7071472110696,1018.7071472110696,1.0,True,34216.45477521565
2,2299.0335634887083,1149.5167817443541,1149.5167817443541,1.0,True,43479.613720212335
2,1703.420039778743,851.7100198893716,851.7100198893716,1.0,True,12973.40251765959
2,1832.2066043648024,916.1033021824012,916.1033021824012,1.0,True,17927.85542052037
2,2040.8246402020338,1020.4123201010169,1020.4123201010169,1.0,True,23478.17989521732
2,2019.572311896606,1009.786155948303,1009.786155948303,1.0,True,20894.081452084538
2,1578.633569222918,789.316784611459,789.316784611459,1.0,True,4218.922983770717
2,2210.1614850471583,1105.0807425235791,1105.0807425235791,1.0,True,39549.85732731268
2,2474.8419186781975,1237.4209593390988,1237.4209593390988,1.0,True,9876.65884938516
2,2742.5501179784187,1371.2750589892094,1371.2750589892094,1.0,True,51904.30316964022
2,1691.132039571387,845.5660197856935,845.5660197856935,1.0,True,18585.707850536637
2,1689.894828498112,844.947414249056,844.947414249056,1.0,True,22254.590274006783
2,2470.0937398887327,1235.0468699443663,1235.0468699443663,1.0,True,51945.29454318174
2,1892.4014262503035,946.2007131251518,946.2007131251518,1.0,True,24148.08581834061
2,1621.4842297262999,810.7421148631499,810.7421148631499,1.0,True,10757.930223815863
2,2200.551332771408,1100.275666385704,1100.275666385704,1.0,True,30910.881573185216
2,2099.1510948811524,1049.5755474405762,1049.5755474405762,1.0,True,35122.06850092724
2,1974.568648542803,987.2843242714015,987.2843242714015,1.0,True,28606.73340735945
2,1785.631625823032,892.815812911516,892.815812911516,1.0,True,26468.98695371124
2,2761.6642360515743,1380.8321180257872,1380.8321180257872,1.0,True,64981.23246589991
2,2451.0311359261045,1225.5155679630523,1225.5155679630523,1.0,True,51493.990302359336
2,1814.923041990045,907.4615209950225,907.4615209950225,1.0,True,27833.765768661928
2,2148.815801826026,1074.407900913013,1074.407900913013,1.0,True,15841.43838578013
2,1728.0451781885233,864.0225890942617,864.0225890942617,1.0,True,23846.843730458204
2,2177.9378336459195,1088.9689168229597,1088.9689168229597,1.0,True,38753.42841293459
2,2584.951528712698,1292.475764356349,1292.475764356349,1.0,True,57944.851942144815
2,1765.278240079526,882.639120039763,882.639120039763,1.0,True,21295.140476708497
