source_id,channel,type,direction_deg,true_x,true_y,est_x,est_y,est_error_m,detections,clear_success,inferred_type,inferred_direction_deg,type_correct
2,7,directional,106.62640763620564,-598.0488607427443,1090.8704117909738,-601.5538371097196,1093.4064183119433,4.32622103081373,5,True,directional,106.62640763620564,True
16,12,directional,23.839029650875734,-1243.4121776472118,-59.21810319439823,-1243.2151605193305,-56.44959545004327,2.7755091207257805,9,True,directional,23.839029650875734,True
6,15,directional,78.42826943655123,-1033.5202857469699,734.6772189200843,-1035.46025066761,734.9804918307129,1.9635270183104168,9,True,directional,78.42826943655123,True
11,18,omni,,-805.404512604075,1403.4890115207259,-803.895406985837,1402.3981693148223,1.8620785389391916,10,True,omni,,True
1,10,omni,,600.4241529886065,-1581.0350374868033,599.490221528725,-1579.610641982059,1.703270538021541,10,True,omni,,True
10,20,directional,290.19086959869134,-77.20500627523224,1325.347067114992,-78.33312050773281,1318.2895632331763,7.147097506219747,11,True,directional,290.19086959869134,True
8,8,directional,101.3897927225406,-876.6359337079533,-1035.8212053654165,-878.1123066854559,-1032.4499562384117,3.6803529511489383,11,True,directional,101.3897927225406,True
12,9,directional,116.70633475103863,762.9172411218055,-1238.7961766418578,760.3214874428097,-1241.369740382096,3.655293078138875,13,True,directional,116.70633475103863,True
14,17,directional,35.23942880726314,-1216.1762375860287,-79.85019565558974,-1220.8384144898064,-81.55087358614729,4.962680616925028,14,True,directional,35.23942880726314,True
5,11,omni,,1496.701537950178,-53.00962216013645,1498.7949332682745,-49.80462711184186,3.82809315683689,17,True,omni,,True
3,2,omni,,-5.320950877437062,-315.5949201481825,-7.825289563025965,-319.15456326418763,4.352329418306924,19,True,omni,,True
13,16,omni,,-853.5812005480341,-221.82651162845482,-852.2199715246305,-219.30044472483806,2.8694874900762652,19,True,omni,,True
4,6,directional,107.27792661954177,-67.24737341194854,-357.05970078195793,-70.597301033426,-353.55454671849753,4.8485173071497405,20,True,directional,107.27792661954177,True
7,3,omni,,-919.2998663248557,-436.6977031278171,-914.4162257044056,-438.5814073382418,5.234337327884134,26,True,omni,,True
15,19,omni,,-30.68954137296253,-413.40190911978743,-31.766000044175854,-412.34775198302793,1.5066554150871199,34,True,omni,,True
9,1,omni,,161.06245943681884,-564.1948196601348,157.1332359726316,-567.477146669313,5.119811288192178,34,True,omni,,True
