scan_index,x,y,channel,source_id,measured_bearing_deg
0,0.0,0.0,1,9,286.4521131215776
0,0.0,0.0,2,3,269.4459900579647
0,0.0,0.0,3,7,206.40579680345454
0,0.0,0.0,6,4,259.44686299922597
0,0.0,0.0,16,13,193.95038001543202
0,0.0,0.0,17,14,183.24851567571227
0,0.0,0.0,19,15,266.1653035104658
1,780.0,-1370.0,1,9,127.943648448977
1,780.0,-1370.0,10,1,230.31500459103808
1,780.0,-1370.0,19,15,131.2592818054418
2,350.0,-1370.0,1,9,102.41910795334621
2,350.0,-1370.0,9,12,18.552814563756115
2,350.0,-1370.0,10,1,319.5005823744323
2,350.0,-1370.0,19,15,110.9706318650513
3,-80.0,-1370.0,1,9,73.26557534888165
3,-80.0,-1370.0,3,7,131.5942106347233
3,-80.0,-1370.0,9,12,8.39987441528852
3,-80.0,-1370.0,10,1,343.0578630035761
3,-80.0,-1370.0,19,15,87.88806802682798
4,-510.0,-1370.0,1,9,50.600633687371854
4,-510.0,-1370.0,3,7,113.59177175852794
4,-510.0,-1370.0,10,1,349.5399723486633
4,-510.0,-1370.0,19,15,63.1259324063572
5,-940.0,-1370.0,1,9,35.648774056729714
5,-940.0,-1370.0,3,7,88.91332314706275
5,-940.0,-1370.0,19,15,46.77822390351221
6,-1370.0,-940.0,3,7,48.63706264439937
6,-1370.0,-940.0,8,8,348.09698300015646
6,-1370.0,-940.0,16,13,54.07608356880494
7,-940.0,-940.0,1,9,19.724896472355194
7,-940.0,-940.0,3,7,87.15274847205167
7,-940.0,-940.0,8,8,302.5331596354746
7,-940.0,-940.0,16,13,83.92323990995837
7,-940.0,-940.0,19,15,30.471907527010273
8,-510.0,-940.0,1,9,29.558317165627823
8,-510.0,-940.0,2,3,51.38748114342389
8,-510.0,-940.0,3,7,129.64476070235096
8,-510.0,-940.0,8,8,193.83492029651256
8,-510.0,-940.0,16,13,116.31530051978648
8,-510.0,-940.0,17,14,130.14515279812332
8,-510.0,-940.0,19,15,46.70257531259545
9,-80.0,-940.0,1,9,58.102735320691615
9,-80.0,-940.0,2,3,83.95893571985651
9,-80.0,-940.0,3,7,148.4493200246246
9,-80.0,-940.0,9,12,339.6613421994299
9,-80.0,-940.0,10,1,316.7698810201743
9,-80.0,-940.0,16,13,136.6731352071442
9,-80.0,-940.0,19,15,84.93957337441292
10,350.0,-940.0,1,9,116.40012610999491
10,350.0,-940.0,2,3,119.36487887894947
10,350.0,-940.0,3,7,158.99206396324186
10,350.0,-940.0,9,12,325.03288858007664
10,350.0,-940.0,10,1,290.3800380155262
10,350.0,-940.0,19,15,126.28168140633002
11,780.0,-940.0,1,9,149.36973465218043
11,780.0,-940.0,2,3,141.6688587568226
11,780.0,-940.0,9,12,266.4542388309529
