观测点数,扫描检测次数,扫描位移,总时间
7,140,6737.7349685296285,4450.269021893471
8,160,6821.251829767102,4569.269021893471
9,180,6875.785450995223,4688.269021893471
10,200,6913.323238880622,4807.269021893471
12,240,6960.210766680461,5045.269021893471
