环半径d,覆盖半径rho,是否可行
600.0,1315.0608836953568,False
606.1776061776062,1310.5634467941825,False
612.3552123552123,1306.0797425718902,False
618.5328185328185,1301.609912944901,False
624.7104247104247,1297.1541013435458,False
630.8880308880309,1292.7124527227634,False
637.065637065637,1288.2851135726105,False
643.2432432432432,1283.8722319285735,False
649.4208494208494,1279.4739573816616,False
655.5984555984556,1275.0904410882765,False
661.7760617760617,1270.7218357798342,False
667.953667953668,1266.3682957721342,False
674.1312741312742,1262.029976974453,False
680.3088803088804,1257.7070368983502,False
686.4864864864865,1253.3996346661704,False
692.6640926640927,1249.107931019222,False
698.8416988416989,1244.8320883256204,False
705.019305019305,1240.5722705877718,False
711.1969111969112,1236.3286434494855,False
717.3745173745174,1232.1013742026923,False
723.5521235521236,1227.8906317937485,False
729.7297297297298,1223.6965868293128,False
735.9073359073359,1219.5194115817676,False
742.0849420849421,1215.3592799941682,False
748.2625482625483,1211.216367684699,False
754.4401544401544,1207.0908519506143,False
760.6177606177606,1202.9829117716408,False
766.7953667953668,1198.892727812819,False
772.9729729729729,1194.8204824267618,False
779.1505791505791,1190.7663596553057,False
785.3281853281853,1186.7305452305293,False
791.5057915057915,1182.7132265751156,False
797.6833976833977,1178.7145928020332,False
803.8610038610038,1174.7348347135098,False
810.03861003861,1170.77414479927,False
816.2162162162163,1166.8327172340164,False
822.3938223938223,1162.91074787412,False
828.5714285714286,1159.0084342534976,False
834.7490347490348,1155.1259755786439,False
840.926640926641,1151.2635727227953,False
847.1042471042472,1147.4214282191904,False
853.2818532818533,1143.5997462534042,False
859.4594594594595,1139.7987326547195,False
865.6370656370657,1136.0185948865146,False
871.8146718146718,1132.2595420356272,False
877.992277992278,1128.5217848006728,False
884.1698841698842,1124.8055354792823,False
890.3474903474903,1121.1110079542284,False
896.5250965250965,1117.4384176784097,False
902.7027027027027,1113.787981658664,False
908.8803088803088,1110.1599184383774,False
915.0579150579151,1106.5544480788553,False
921.2355212355212,1102.9717921394304,False
927.4131274131274,1099.4121736562702,False
933.5907335907336,1095.8758171198565,False
939.7683397683397,1092.362948451106,False
945.9459459459459,1088.8737949760957,False
952.1235521235521,1085.4085853993727,False
958.3011583011582,1081.967549775806,False
964.4787644787646,1078.5509194809606,False
970.6563706563707,1075.1589271799598,False
976.8339768339769,1071.7918067948035,False
983.0115830115831,1068.4497934701226,False
989.1891891891892,1065.1331235373339,False
995.3667953667954,1061.8420344771714,False
1001.5444015444016,1058.5767648805686,False
1007.7220077220077,1055.3375544078651,False
1013.8996138996139,1052.1246437463142,False
1020.0772200772201,1048.938274565865,False
1026.2548262548262,1045.7786894732035,False
1032.4324324324325,1042.646131964023,False
1038.6100386100386,1039.5408463735123,False
1044.7876447876447,1036.4630778250369,False
1050.965250965251,1033.4130721770023,False
1057.142857142857,1030.3910759678788,False
1063.3204633204632,1027.397336359379,False
1069.4980694980695,1024.4321010777737,False
1075.6756756756756,1021.4956183533382,False
1081.853281853282,1018.5881368579188,False
1088.030888030888,1015.709905640619,False
1094.2084942084944,1012.8611740615962,False
1100.3861003861005,1010.0421917239727,False
1106.5637065637065,1007.2532084038595,False
1112.7413127413129,1004.4944739784994,False
1118.918918918919,1001.7662383525346,False
1125.096525096525,999.0687513824078,True
1131.2741312741314,996.4022627989111,True
1137.4517374517375,993.7670221278973,True
1143.6293436293436,991.1632786091698,True
1149.80694980695,988.5912811135748,True
1155.984555984556,986.0512780583225,True
1162.162162162162,983.5435173205578,True
1168.3397683397684,981.0682461492211,True
1174.5173745173745,978.6257110752274,True
1180.6949806949806,976.2161578200041,True
1186.872586872587,973.8398312024308,True
1193.050193050193,971.4969750442243,True
1199.227799227799,969.1878320738188,True
1205.4054054054054,966.912643828795,True
1211.5830115830117,964.671650556915,True
1217.7606177606176,962.4650911158217,True
1223.938223938224,960.2932028714679,True
1230.1158301158302,958.1562215953452,True
1236.2934362934363,956.0543813605824,True
1242.4710424710424,953.9879144369884,True
1248.6486486486488,951.9570511851229,True
1254.8262548262549,949.9620199494744,True
1261.003861003861,948.0030469508354,True
1267.1814671814673,946.0803561779629,True
1273.3590733590734,944.1941692786214,True
1279.5366795366795,942.3447054501033,True
1285.7142857142858,940.5321813293307,True
1291.8918918918919,938.7568108826414,True
1298.069498069498,937.0188052953671,True
1304.2471042471043,935.3183728613149,True
1310.4247104247104,933.6557188722669,True
1316.6023166023165,932.0310455076122,True
1322.7799227799228,930.4445517242319,True
1328.9575289575291,928.8964331467596,True
1335.135135135135,927.3868819583383,True
1341.3127413127413,925.9160867920034,True
1347.4903474903476,924.4842326228153,True
1353.6679536679537,923.0915006608749,True
1359.8455598455598,921.7380682453489,True
1366.0231660231661,920.4241087396398,True
1372.2007722007722,919.1497914278303,True
1378.3783783783783,917.9152814125381,True
1384.5559845559847,916.720739514311,True
1390.7335907335907,915.5663221726992,True
1396.9111969111968,914.4521813491351,True
