n_src,扫描位移,扫描检测次数,扫描切换次数,阶段一时间,巡回位移,侧移位移,阶段二移动时间,阶段二动作时间,总时间,平均定位清除时间,理想下界
10,6737.734968529629,140,133,2180.546993705926,7187.392336611392,1796.848084152848,1796.8480841528478,170.0,4147.395077858774,414.73950778587744,1597.4784673222784
11,6737.734968529629,140,133,2180.546993705926,7538.200677908369,1884.5501694770921,1884.5501694770924,187.0,4252.097163183018,386.55428756209255,1683.6401355816738
12,6737.734968529629,140,133,2180.546993705926,7873.393824803647,1968.3484562009116,1968.3484562009114,204.0,4352.895449906838,362.7412874922365,1766.6787649607293
13,6737.734968529629,140,133,2180.546993705926,8194.88811275018,2048.722028187545,2048.722028187545,221.0,4450.269021893471,342.32838629949777,1846.9776225500361
14,6737.734968529629,140,133,2180.546993705926,8504.237299166352,2126.059324791588,2126.059324791588,238.0,4544.606318497514,324.6147370355367,1924.8474598332705
15,6737.734968529629,140,133,2180.546993705926,8802.721902944011,2200.680475736003,2200.680475736003,255.0,4636.227469441928,309.08183129612854,2000.5443805888021
16,6737.734968529629,140,133,2180.546993705926,9091.412088372645,2272.853022093161,2272.853022093161,272.0,4725.400015799087,295.3375009874429,2074.282417674529
