口径,总构型数,非空构型占比,无界退化占比,有效构型数,直径圆覆盖率,直径均值,直径中位数,直径标准差,包围圆半径与直径之比均值,包围圆半径与直径之比最大值
纯交会四边形,5000,100.0,2.8000000000000003,4860,98.9917695473251,402.53215597286817,157.95531050901815,959.381720542084,0.5000010256920205,0.5002798583137726
加目标圆域截断,5000,100.0,2.8000000000000003,4860,96.27572016460906,271.0436986379955,151.8750408506529,319.9886748358771,0.5001598893347422,0.5611198355658785
