case,n,omni,dirn,cleared,rate,vt,tavg,meas,try,fail
7U8F-RDRH-48RU-4DDQ,13,3,10,13,1.000,11119.6,855.4,270,53,40
NMQX-EWKU-3FNZ-7SUB,16,11,5,16,1.000,9589.9,599.4,199,35,19
ZW2X-ZQ62-JVWW-94U6,16,3,13,16,1.000,7782.4,486.4,291,17,1
EWAQ-GXB6-VBA4-AW8W,13,7,6,13,1.000,8098.0,622.9,349,13,0
FN6F-RNBR-WYEE-2XFQ,12,9,3,12,1.000,7039.5,586.6,303,12,0
3MRR-G66Y-EN8Z-T222,16,2,14,16,1.000,10301.9,643.9,327,17,1
JEFV-DPQS-JMTU-EQR3,15,9,6,15,1.000,6788.6,452.6,270,15,0
5YQ4-FDYF-CBVJ-D9WG,16,13,3,16,1.000,6976.5,436.0,242,17,1
