方案,观测点数,最大方位间隔,零漏测,巡回路径长,检测次数,切换次数,粗探时间
问题三·七点保证覆盖网,7,360.00000000000006,False,6737.76,140,133,2180.552
问题四·分级零漏测冗余网,37,155.66603568378068,True,21869.54959178377,740,703,8776.909918356754
