run,log_file,start_time,cleared,detected,missed,vt_total_s,vt_total_h,avg_per_source_s,avg_locate_clear_s,n_measure,n_clear,n_clear_fail,clear_success_rate,avg_bearings_per_source,n_switch,move_distance_m,move_time_s,measure_time_s,switch_time_s,clear_time_s,other_time_s,init_time_s,hunt_time_s,ring_time_s,real_elapsed_s,n_records
1,r01_20260912_222346.jsonl,2026-09-12T22:23:46.209973,11,11,0,3696.09,1.0267,336.008,560.651,123,17,6,0.647,3.82,106,14515.5,2903.1,615.0,106.0,73.0,-1.0,119.0,1402.4,2174.7,1.79,142
2,r02_20260912_222353.jsonl,2026-09-12T22:24:03.433292,11,11,0,3713.661,1.0316,337.606,546.613,127,16,5,0.688,3.91,111,14493.3,2898.7,635.0,111.0,70.0,-1.0,119.0,1335.6,2259.1,1.57,145
3,r03_20260912_222410.jsonl,2026-09-12T22:24:25.148455,15,15,0,4419.373,1.2276,294.625,461.149,143,15,0,1.0,5.07,109,17606.9,3521.4,715.0,109.0,75.0,-1.0,119.0,845.2,3455.2,1.85,160
4,r04_20260912_222432.jsonl,2026-09-12T22:24:37.910216,12,12,0,3722.006,1.0339,310.167,609.586,123,12,0,1.0,4.33,103,14730.0,2946.0,615.0,103.0,60.0,-2.0,119.0,1296.7,2306.3,2.09,137
5,r05_20260912_222445.jsonl,2026-09-12T22:24:50.530658,11,11,0,3502.734,0.973,318.43,313.052,128,14,3,0.786,4.09,111,13448.7,2689.7,640.0,111.0,64.0,-2.0,119.0,521.9,2861.8,2.47,144
6,r06_20260912_222458.jsonl,2026-09-12T22:25:03.572295,10,10,0,3452.984,0.9592,345.298,359.87,139,12,2,0.833,4.7,117,12924.9,2585.0,695.0,117.0,56.0,-0.0,119.0,763.3,2570.7,2.43,153
7,r07_20260912_222511.jsonl,2026-09-12T22:25:15.711597,13,13,0,4933.376,1.3704,379.49,865.352,130,13,0,1.0,4.54,105,20581.9,4116.4,650.0,105.0,65.0,-3.0,119.0,1886.3,2928.1,2.29,145
8,r08_20260912_222523.jsonl,2026-09-12T22:25:30.132593,16,16,0,4795.832,1.3322,299.74,637.864,149,16,0,1.0,4.81,119,19274.2,3854.8,745.0,119.0,80.0,-3.0,119.0,2062.1,2614.7,2.87,167
9,r09_20260912_222538.jsonl,2026-09-12T22:25:42.342638,11,11,0,3685.145,1.0237,335.013,472.399,133,11,0,1.0,4.09,119,14245.7,2849.1,665.0,119.0,55.0,-3.0,119.0,1351.3,2214.9,1.66,146
10,r10_20260912_222549.jsonl,2026-09-12T22:25:54.109613,15,15,0,3967.84,1.1022,264.523,674.629,106,18,3,0.833,3.6,90,16329.2,3265.8,530.0,90.0,84.0,-2.0,119.0,1672.5,2176.4,1.89,126
