run,log_file,phase,seconds,pct_of_run
1,r01_20260912_222346.jsonl,初始扫描(原点20频道),119.0,3.22
1,r01_20260912_222346.jsonl,追踪清除(hunt),1402.425,37.94
1,r01_20260912_222346.jsonl,补网扫描(ring),2174.665,58.84
2,r02_20260912_222353.jsonl,初始扫描(原点20频道),119.0,3.2
2,r02_20260912_222353.jsonl,追踪清除(hunt),1335.591,35.96
2,r02_20260912_222353.jsonl,补网扫描(ring),2259.07,60.83
3,r03_20260912_222410.jsonl,初始扫描(原点20频道),119.0,2.69
3,r03_20260912_222410.jsonl,追踪清除(hunt),845.212,19.13
3,r03_20260912_222410.jsonl,补网扫描(ring),3455.161,78.18
4,r04_20260912_222432.jsonl,初始扫描(原点20频道),119.0,3.2
4,r04_20260912_222432.jsonl,追踪清除(hunt),1296.746,34.84
4,r04_20260912_222432.jsonl,补网扫描(ring),2306.26,61.96
5,r05_20260912_222445.jsonl,初始扫描(原点20频道),119.0,3.4
5,r05_20260912_222445.jsonl,追踪清除(hunt),521.934,14.9
5,r05_20260912_222445.jsonl,补网扫描(ring),2861.8,81.7
6,r06_20260912_222458.jsonl,初始扫描(原点20频道),119.0,3.45
6,r06_20260912_222458.jsonl,追踪清除(hunt),763.292,22.11
6,r06_20260912_222458.jsonl,补网扫描(ring),2570.692,74.45
7,r07_20260912_222511.jsonl,初始扫描(原点20频道),119.0,2.41
7,r07_20260912_222511.jsonl,追踪清除(hunt),1886.274,38.23
7,r07_20260912_222511.jsonl,补网扫描(ring),2928.102,59.35
8,r08_20260912_222523.jsonl,初始扫描(原点20频道),119.0,2.48
8,r08_20260912_222523.jsonl,追踪清除(hunt),2062.105,43.0
8,r08_20260912_222523.jsonl,补网扫描(ring),2614.727,54.52
9,r09_20260912_222538.jsonl,初始扫描(原点20频道),119.0,3.23
9,r09_20260912_222538.jsonl,追踪清除(hunt),1351.258,36.67
9,r09_20260912_222538.jsonl,补网扫描(ring),2214.887,60.1
10,r10_20260912_222549.jsonl,初始扫描(原点20频道),119.0,3.0
10,r10_20260912_222549.jsonl,追踪清除(hunt),1672.468,42.15
10,r10_20260912_222549.jsonl,补网扫描(ring),2176.372,54.85
