相对S1距离,相对示向度方位角,x,y
1230.0,19.0,1162.9878479871597,400.44882998230275
1230.0,19.999999999999996,1155.8219235666675,420.68477629057253
1250.0,17.000000000000004,1195.3809449537944,365.464630903421
1250.0,18.0,1188.820645368942,386.27124296868425
1250.0,19.0,1181.898219499146,406.9601930714459
1250.0,20.0,1174.6157759823855,427.5251791570859
1250.0,21.0,1166.9755331215022,447.95993693162535
1250.0,22.0,1158.9798182084842,468.25824176989
1250.0,23.0,1150.6310668155504,488.4139106115922
1270.0,15.000000000000002,1226.7257993871167,328.70018728020136
1270.0,15.999999999999996,1220.802353841665,350.05944188758895
1270.0,17.000000000000004,1214.507040073055,371.3120649978757
1270.0,18.0,1207.841775694845,392.45158285618317
1270.0,19.0,1200.8085910111324,413.471556160589
1270.0,20.0,1193.4096283981037,434.36558202359925
1270.0,21.0,1185.6471416514462,455.12729592253135
1270.0,22.0,1177.52349529982,475.75037363820826
1270.0,23.000000000000004,1169.0411638845992,496.2285331813777
1270.0,24.0,1160.2027312061032,516.5555367062663
1270.0,25.0,1151.0108895365454,536.7251924106882
1290.0,14.999999999999998,1246.0443159128981,333.87656818225173
1290.0,16.0,1240.0275877604313,355.57218900392894
1290.0,17.000000000000004,1233.6331351923156,377.1594990923304
1290.0,18.0,1226.8629060207481,398.63192274368214
1290.0,19.0,1219.7189625231188,419.98291924973216
1290.0,20.0,1212.203480813822,441.20598489011263
1290.0,21.0,1204.3187501813902,462.29465491343734
1290.0,22.0,1196.0671723911557,483.2425055065265
1290.0,23.000000000000004,1187.451260953648,504.04315575116317
1290.0,24.0,1178.4736403589552,524.6902695677823
1290.0,25.0,1169.1370452772785,545.1775576455022
1290.0,26.0,1159.4443197259254,565.4987793579099
1310.0,14.0,1271.0874014215553,316.9176832355647
1310.0,14.999999999999998,1265.3628324386796,339.05294908430216
1310.0,15.999999999999996,1259.2528216791977,361.0849361202689
1310.0,17.0,1252.7592303115764,383.00693318678515
1310.0,18.0,1245.884036346651,404.8122626311811
1310.0,19.0,1238.629334035105,426.4942823388753
1310.0,19.999999999999996,1230.9973332295401,448.046387756626
1310.0,21.0,1222.9903587113342,469.46201390434334
1310.0,21.999999999999996,1214.6108494824916,490.73463737484474
1310.0000000000002,22.999999999999996,1205.861358022697,511.8577783209486
1310.0,24.0,1196.7445495118072,532.8250024292983
1310.0,25.0,1187.2632010180114,553.6299228803163
1310.0,26.0,1177.4202006519088,574.2662022936914
1310.0000000000002,27.0,1167.218546686762,594.7275546588063
1330.0,13.999999999999998,1290.4933159470754,321.7561211475581
1330.0,14.999999999999998,1284.6813489644608,344.2293299863526
1330.0,15.999999999999996,1278.4780555979642,366.5976832366089
