准则,最优基线b,最优方位角phi,期望误差,分位95误差,最坏误差
期望准则(主),1401.444150574174,20.025562554495686,22.191849332174808,32.52158666497859,72.87487276337713
极小化极大准则,1499.286630282206,41.0902254660979,26.895862872452053,37.86177394524271,39.924776255647444
限定垂直布站(次优),1509.9740982055664,90.0,55.7267367244155,80.22285414539176,83.80060941173647
