成本权重lam,最优基线b,最优方位角phi,定位误差均值,机动时间成本秒,综合目标值
0.0,1401.4439467094035,20.02557336500979,22.191849332171795,280.2887893418807,22.191849332171795
0.02,1339.86929934535,19.57641998463694,22.308679159040285,267.97385986907,27.668156356421683
0.05,1270.804319341551,19.524225432797707,22.783043900352254,254.1608638683102,35.49108709376777
0.1,1178.5624466714983,20.516704585167698,24.15394461506536,235.71248933429965,47.72519354849533
0.2,1011.3878259353688,25.413436323838642,29.156256172566128,202.27756518707378,69.61176920998088
0.5,666.118055436222,43.07548734790171,51.827288177425814,133.2236110872444,118.43909372104801
1.0,460.9664659127644,56.28858855009829,80.79289553040199,92.19329318255288,172.98618871295486
