run,log_file,category,seconds,pct_of_run
1,r01_20260912_223906.jsonl,移动,7249.156,75.72
1,r01_20260912_223906.jsonl,测向,1925.0,20.11
1,r01_20260912_223906.jsonl,换频,350.0,3.66
1,r01_20260912_223906.jsonl,清除(成功),50.0,0.52
1,r01_20260912_223906.jsonl,清除(失败),0.0,0.0
1,r01_20260912_223906.jsonl,未解释/余量,-0.0,-0.0
2,r02_20260912_223919.jsonl,移动,4825.81,68.83
2,r02_20260912_223919.jsonl,测向,1785.0,25.46
2,r02_20260912_223919.jsonl,换频,345.0,4.92
2,r02_20260912_223919.jsonl,清除(成功),55.0,0.78
2,r02_20260912_223919.jsonl,清除(失败),0.0,0.0
2,r02_20260912_223919.jsonl,未解释/余量,-0.0,-0.0
3,r03_20260912_223952.jsonl,移动,5475.521,76.52
3,r03_20260912_223952.jsonl,测向,1350.0,18.87
3,r03_20260912_223952.jsonl,换频,259.0,3.62
3,r03_20260912_223952.jsonl,清除(成功),65.0,0.91
3,r03_20260912_223952.jsonl,清除(失败),6.0,0.08
3,r03_20260912_223952.jsonl,未解释/余量,-0.0,-0.0
4,r04_20260912_224011.jsonl,移动,8764.072,78.24
4,r04_20260912_224011.jsonl,测向,2020.0,18.03
4,r04_20260912_224011.jsonl,换频,355.0,3.17
4,r04_20260912_224011.jsonl,清除(成功),60.0,0.54
4,r04_20260912_224011.jsonl,清除(失败),3.0,0.03
4,r04_20260912_224011.jsonl,未解释/余量,0.0,0.0
5,r05_20260912_224039.jsonl,移动,4862.625,69.31
5,r05_20260912_224039.jsonl,测向,1750.0,24.94
5,r05_20260912_224039.jsonl,换频,332.0,4.73
5,r05_20260912_224039.jsonl,清除(成功),65.0,0.93
5,r05_20260912_224039.jsonl,清除(失败),6.0,0.09
5,r05_20260912_224039.jsonl,未解释/余量,-0.0,-0.0
6,r06_20260912_224056.jsonl,移动,5419.968,70.55
6,r06_20260912_224056.jsonl,测向,1850.0,24.08
6,r06_20260912_224056.jsonl,换频,355.0,4.62
6,r06_20260912_224056.jsonl,清除(成功),55.0,0.72
6,r06_20260912_224056.jsonl,清除(失败),3.0,0.04
6,r06_20260912_224056.jsonl,未解释/余量,-0.0,-0.0
7,r07_20260912_224116.jsonl,移动,4848.07,69.93
7,r07_20260912_224116.jsonl,测向,1695.0,24.45
7,r07_20260912_224116.jsonl,换频,330.0,4.76
7,r07_20260912_224116.jsonl,清除(成功),60.0,0.87
7,r07_20260912_224116.jsonl,清除(失败),0.0,0.0
7,r07_20260912_224116.jsonl,未解释/余量,0.0,0.0
8,r08_20260912_224133.jsonl,移动,5625.444,74.69
8,r08_20260912_224133.jsonl,测向,1530.0,20.31
8,r08_20260912_224133.jsonl,换频,292.0,3.88
8,r08_20260912_224133.jsonl,清除(成功),75.0,1.0
8,r08_20260912_224133.jsonl,清除(失败),9.0,0.12
8,r08_20260912_224133.jsonl,未解释/余量,-0.0,-0.0
9,r09_20260912_224149.jsonl,移动,5318.663,68.88
9,r09_20260912_224149.jsonl,测向,1955.0,25.32
9,r09_20260912_224149.jsonl,换频,380.0,4.92
9,r09_20260912_224149.jsonl,清除(成功),65.0,0.84
9,r09_20260912_224149.jsonl,清除(失败),3.0,0.04
9,r09_20260912_224149.jsonl,未解释/余量,-0.0,-0.0
10,r10_20260912_224209.jsonl,移动,7145.887,81.42
10,r10_20260912_224209.jsonl,测向,1305.0,14.87
10,r10_20260912_224209.jsonl,换频,243.0,2.77
10,r10_20260912_224209.jsonl,清除(成功),80.0,0.91
10,r10_20260912_224209.jsonl,清除(失败),3.0,0.03
10,r10_20260912_224209.jsonl,未解释/余量,-0.0,-0.0
