构型,检测点数,顶点数,直径,旋转卡壳直径,双算法偏差,最小包围圆半径,包围圆半径与直径之比,是否被覆盖,Thales符号量1,Thales符号量2,顶点1_x,顶点1_y,顶点2_x,顶点2_y,顶点3_x,顶点3_y,顶点4_x,顶点4_y
示范构型,2,4,56.707811,56.707811,0.0,28.353905,0.5,True,-332.841422,-323.15105,884.707215,728.647815,901.08385,690.80109,922.779761,707.433902,907.205539,747.17751
覆盖失败反例,2,4,111.398822,111.398822,0.0,55.712352,0.500116,False,-274.324404,131.671826,192.123833,1176.367892,255.909164,1116.826658,302.626577,1162.266786,239.341393,1225.616132
