交会角区间(度),构型数,直径均值,直径中位数,覆盖率,包围圆半径与直径之比均值
"(0, 30]",1486,950.2581227540549,499.7909011460764,100.0,0.5
"(30, 45]",688,201.54672655664618,200.84818529782166,100.0,0.5
"(45, 60]",568,136.16776967809542,134.2090391066622,100.0,0.5
"(60, 75]",482,106.85004624889532,107.15513794856426,100.0,0.5
"(75, 90]",404,83.49964085190733,85.24508304687149,98.0198,0.5000023369434116
"(90, 105]",342,76.21327950773203,77.73886503052438,88.0117,0.5000118150236306
"(105, 120]",231,84.82429966472978,87.30768816156152,100.0,0.5
"(120, 150]",363,111.3500694568454,112.21380509469223,100.0,0.5
"(150, 180]",296,530.0684437307876,299.210716480536,100.0,0.5
