round,log_file,start_time,end_time,enter_ok,exit_ok,cleared,vt_total_s,vt_total_h,avg_per_source_s,measure_cnt,switch_cnt,clear_attempts,clear_fail,channels_detected,real_elapsed_s,records,error
1,r01_20260912_222346.jsonl,20260912_222346,,1,1,11,3696.09,1.0267,336.008,123,105,,6,11,2.01,142,
2,r02_20260912_222353.jsonl,20260912_222353,,1,1,11,3713.661,1.0316,337.606,127,110,,5,11,2.39,145,
3,r03_20260912_222410.jsonl,20260912_222410,,1,1,15,4419.373,1.2276,294.625,143,108,,0,15,2.58,160,
4,r04_20260912_222432.jsonl,20260912_222432,,1,1,12,3722.006,1.0339,310.167,123,101,,0,12,2.48,137,
5,r05_20260912_222445.jsonl,20260912_222445,,1,1,11,3502.734,0.973,318.43,128,109,,3,11,2.91,144,
6,r06_20260912_222458.jsonl,20260912_222458,,1,1,10,3452.984,0.9592,345.298,139,117,,2,10,2.99,153,
7,r07_20260912_222511.jsonl,20260912_222511,,1,1,13,4933.376,1.3704,379.49,130,102,,0,13,3.25,145,
8,r08_20260912_222523.jsonl,20260912_222523,,1,1,16,4795.832,1.3322,299.74,149,116,,0,16,3.09,167,
9,r09_20260912_222538.jsonl,20260912_222538,,1,1,11,3685.145,1.0237,335.013,133,116,,0,11,2.61,146,
10,r10_20260912_222549.jsonl,20260912_222549,,1,1,15,3967.84,1.1022,264.523,106,88,,3,15,2.36,126,
