源距离r,最优基线b,交会误差E,是否满足清除精度
1500,2121.320343559643,78.53981633974483,False
1200,1697.0562748477141,62.83185307179587,False
900,1272.7922061357856,47.1238898038469,False
600,848.5281374238571,31.415926535897935,False
400,565.685424949238,20.943951023931955,False
381,538.8153672641492,19.94911335029519,True
300,424.26406871192853,15.707963267948967,True
200,282.842712474619,10.471975511965978,True
100,141.4213562373095,5.235987755982989,True
