侧移系数beta,总时间,平均定位清除时间,侧移位移
0.0,4040.5246162559624,310.80958586584325,0.0
0.1,4204.422378510966,323.4171060393051,819.4888112750181
0.2,4368.320140765969,336.02462621276686,1638.9776225500361
0.25,4450.269021893471,342.32838629949777,2048.722028187545
0.3,4532.217903020974,348.6321463862287,2458.466433825054
0.4,4696.115665275976,361.2396665596905,3277.9552451000723
0.5,4860.01342753098,373.84718673315234,4097.44405637509
